Date,Weekday,AI_Platform,AI_Model_Version,Active_Users,New_Users,Churned_Users,Daily_Churn_Rate,Retention_Rate,Query_Type,Response_Tokens,Topic_Category,User_Rating,User_Experience_Score,Session_Duration_sec,Device_Type,Response_Accuracy,Response_Speed_sec,Response_Time_Category,User_Return_Frequency,Customer_Support_Interactions
21-09-2024,Saturday,ChatGPT,GPT-4-turbo,500000,25000,25000,0.05,0.95,General,280,Professional Writing,4,1.28,40,Mobile,0.7842,3.30,Standard,6,2
21-09-2024,Saturday,ChatGPT,GPT-4-turbo,500000,25000,25000,0.05,0.95,General,80,Content Creation,4,1.28,24,Laptop/Desktop,0.8194,3.28,Standard,2,2
21-09-2024,Saturday,ChatGPT,GPT-4-turbo,500000,25000,25000,0.05,0.95,General,131,Best Practices,3,0.88,34,Mobile,0.809,3.07,Standard,2,0
21-09-2024,Saturday,ChatGPT,GPT-4-turbo,500000,25000,25000,0.05,0.95,General,426,Content Creation,5,1.68,18,Mobile,0.8233,3.06,Standard,9,0
16-05-2024,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,Technical,215,Debugging,5,2.04,10,Mobile,0.9366,1.48,Fast,9,3
16-05-2024,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,Technical,268,Code Optimization,5,2.04,18,Mobile,0.8992,1.80,Fast,5,2
16-05-2024,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,General,299,Implementation Help,5,2.04,53,Mobile,0.9623,1.66,Fast,10,3
16-05-2024,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,Technical,147,Algorithm Explanation,5,2.04,50,Laptop/Desktop,0.9832,1.83,Fast,8,2
16-05-2024,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,Technical,64,Algorithm Explanation,5,2.04,49,Mobile,0.9067,1.75,Fast,6,1
16-05-2024,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,Technical,326,Code Optimization,4,1.64,33,Mobile,0.9096,1.52,Fast,5,3
16-05-2024,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,General,263,Implementation Help,5,2.04,20,Mobile,0.8947,1.54,Fast,7,0
16-05-2024,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,General,299,Implementation Help,5,2.04,19,Mobile,0.9272,1.58,Fast,10,1
16-05-2024,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,Technical,98,Algorithm Explanation,5,2.04,60,Laptop/Desktop,0.9659,1.80,Fast,4,3
16-05-2024,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,General,151,Implementation Help,5,2.04,43,Mobile,0.9008,1.81,Fast,5,0
16-05-2024,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,Technical,344,Debugging,5,2.04,23,Tablet,0.9676,1.69,Fast,8,3
16-05-2024,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,Technical,269,Debugging,5,2.04,32,Laptop/Desktop,0.8954,1.60,Fast,4,0
11-12-2024,Wednesday,ChatGPT,GPT-4-turbo,350000,17500,17500,0.05,0.95,General,344,Education,4,1.1,19,Mobile,0.6709,3.78,Standard,5,1
11-12-2024,Wednesday,ChatGPT,GPT-4-turbo,350000,17500,17500,0.05,0.95,General,50,Best Practices,4,1.1,20,Mobile,0.7234,3.98,Standard,2,0
11-12-2024,Wednesday,ChatGPT,GPT-4-turbo,350000,17500,17500,0.05,0.95,General,57,Best Practices,5,1.5,8,Laptop/Desktop,0.7015,3.90,Standard,10,0
02-12-2024,Monday,DeepSeek,DeepSeek-Chat 1.5,2750000,275000,55000,0.02,0.95,Technical,106,Code Optimization,5,2.01,11,Laptop/Desktop,0.8817,1.83,Fast,3,1
02-12-2024,Monday,DeepSeek,DeepSeek-Chat 1.5,2750000,275000,55000,0.02,0.95,Technical,345,Debugging,5,2.01,35,Mobile,0.8915,1.92,Fast,8,3
02-12-2024,Monday,DeepSeek,DeepSeek-Chat 1.5,2750000,275000,55000,0.02,0.95,Technical,251,Algorithm Explanation,5,2.01,31,Mobile,0.8698,1.94,Fast,10,3
02-12-2024,Monday,DeepSeek,DeepSeek-Chat 1.5,2750000,275000,55000,0.02,0.95,General,170,Implementation Help,5,2.01,36,Laptop/Desktop,0.8807,1.95,Fast,4,2
02-12-2024,Monday,DeepSeek,DeepSeek-Chat 1.5,2750000,275000,55000,0.02,0.95,Technical,131,Code Optimization,4,1.61,32,Tablet,0.9678,1.72,Fast,6,3
02-12-2024,Monday,DeepSeek,DeepSeek-Chat 1.5,2750000,275000,55000,0.02,0.95,Technical,234,Code Optimization,5,2.01,16,Tablet,0.8799,1.94,Fast,7,0
13-01-2024,Saturday,ChatGPT,GPT-4-turbo,900000,45000,45000,0.05,0.95,General,142,Professional Writing,5,1.58,22,Mobile,0.6565,3.58,Standard,9,0
25-09-2023,Monday,DeepSeek,DeepSeek-Chat 1.5,500000,50000,10000,0.02,0.95,Technical,192,Code Optimization,5,2.1,23,Mobile,0.907,1.24,Fast,2,0
25-09-2023,Monday,DeepSeek,DeepSeek-Chat 1.5,500000,50000,10000,0.02,0.95,Technical,445,Debugging,4,1.7,17,Mobile,0.84,1.09,Fast,2,1
25-09-2023,Monday,DeepSeek,DeepSeek-Chat 1.5,500000,50000,10000,0.02,0.95,Technical,167,Algorithm Explanation,5,2.1,30,Mobile,0.8737,1.31,Fast,2,3
25-09-2023,Monday,DeepSeek,DeepSeek-Chat 1.5,500000,50000,10000,0.02,0.95,Technical,87,Debugging,5,2.1,21,Mobile,0.8777,1.34,Fast,6,0
25-09-2023,Monday,DeepSeek,DeepSeek-Chat 1.5,500000,50000,10000,0.02,0.95,Technical,206,Code Optimization,4,1.7,13,Mobile,0.8857,1.31,Fast,9,2
25-09-2023,Monday,DeepSeek,DeepSeek-Chat 1.5,500000,50000,10000,0.02,0.95,Technical,456,Algorithm Explanation,5,2.1,46,Mobile,0.8368,1.37,Fast,2,3
25-09-2023,Monday,DeepSeek,DeepSeek-Chat 1.5,500000,50000,10000,0.02,0.95,Technical,291,Algorithm Explanation,5,2.1,25,Mobile,0.8896,1.25,Fast,8,1
25-09-2023,Monday,DeepSeek,DeepSeek-Chat 1.5,500000,50000,10000,0.02,0.95,Technical,260,Algorithm Explanation,4,1.7,29,Laptop/Desktop,0.9226,1.14,Fast,4,2
25-09-2023,Monday,DeepSeek,DeepSeek-Chat 1.5,500000,50000,10000,0.02,0.95,Technical,338,Algorithm Explanation,5,2.1,52,Laptop/Desktop,0.8305,1.09,Fast,3,1
25-09-2023,Monday,DeepSeek,DeepSeek-Chat 1.5,500000,50000,10000,0.02,0.95,Technical,110,Code Optimization,5,2.1,24,Mobile,0.8449,1.41,Fast,5,1
05-07-2024,Friday,ChatGPT,GPT-4-turbo,600000,30000,30000,0.05,0.95,General,409,Best Practices,4,1.19,22,Laptop/Desktop,0.817,3.74,Standard,1,0
05-07-2024,Friday,ChatGPT,GPT-4-turbo,600000,30000,30000,0.05,0.95,General,448,Professional Writing,4,1.19,12,Laptop/Desktop,0.8289,3.61,Standard,6,1
05-07-2024,Friday,ChatGPT,GPT-4-turbo,600000,30000,30000,0.05,0.95,General,56,Education,4,1.19,20,Mobile,0.8361,3.69,Standard,3,3
05-07-2024,Friday,ChatGPT,GPT-4-turbo,600000,30000,30000,0.05,0.95,General,393,Content Creation,3,0.79,40,Laptop/Desktop,0.8348,3.58,Standard,1,2
05-07-2024,Friday,ChatGPT,GPT-4-turbo,600000,30000,30000,0.05,0.95,General,330,Content Creation,3,0.79,34,Mobile,0.8153,3.53,Standard,7,0
05-07-2024,Friday,ChatGPT,GPT-4-turbo,600000,30000,30000,0.05,0.95,General,79,Education,3,0.79,17,Mobile,0.8469,3.84,Standard,5,0
05-07-2024,Friday,ChatGPT,GPT-4-turbo,600000,30000,30000,0.05,0.95,General,293,Education,3,0.79,20,Mobile,0.7572,3.78,Standard,2,2
05-07-2024,Friday,ChatGPT,GPT-4-turbo,600000,30000,30000,0.05,0.95,General,434,Education,3,0.79,31,Mobile,0.7898,3.51,Standard,1,2
05-07-2024,Friday,ChatGPT,GPT-4-turbo,600000,30000,30000,0.05,0.95,General,464,Education,3,0.79,22,Laptop/Desktop,0.835,3.54,Standard,4,1
05-07-2024,Friday,ChatGPT,GPT-4-turbo,600000,30000,30000,0.05,0.95,General,458,Best Practices,4,1.19,32,Mobile,0.78,3.78,Standard,2,2
